Pair.Name,Ligand.ApprovedSymbol,Ligand.Name,Receptor.ApprovedSymbol,Receptor.Name
ANGPT1_ITGB1,ANGPT1,angiopoietin 1,ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
ANGPT1_TEK,ANGPT1,angiopoietin 1,TEK,"TEK tyrosine kinase, endothelial"
ANGPT1_TIE1,ANGPT1,angiopoietin 1,TIE1,tyrosine kinase with immunoglobulin-like and EGF-like domains 1
ANGPT2_TEK,ANGPT2,angiopoietin 2,TEK,"TEK tyrosine kinase, endothelial"
ANGPT2_TIE1,ANGPT2,angiopoietin 2,TIE1,tyrosine kinase with immunoglobulin-like and EGF-like domains 1
ANGPT4_TEK,ANGPT4,angiopoietin 4,TEK,"TEK tyrosine kinase, endothelial"
ANGPT4_TIE1,ANGPT4,angiopoietin 4,TIE1,tyrosine kinase with immunoglobulin-like and EGF-like domains 1
ANGPTL1_TEK,ANGPTL1,angiopoietin-like 1,TEK,"TEK tyrosine kinase, endothelial"
ANGPTL2_TIE1,ANGPTL2,angiopoietin-like 2,TIE1,tyrosine kinase with immunoglobulin-like and EGF-like domains 1
ANGPTL3_ITGA5,ANGPTL3,angiopoietin-like 3,ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
ANGPTL3_ITGAV,ANGPTL3,angiopoietin-like 3,ITGAV,"integrin, alpha V"
ANGPTL3_ITGB3,ANGPTL3,angiopoietin-like 3,ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
ANGPTL4_TIE1,ANGPTL4,angiopoietin-like 4,TIE1,tyrosine kinase with immunoglobulin-like and EGF-like domains 1
ANXA1_DYSF,ANXA1,annexin A1,DYSF,dysferlin
ANXA1_EGFR,ANXA1,annexin A1,EGFR,epidermal growth factor receptor
ANXA1_FPR1,ANXA1,annexin A1,FPR1,formyl peptide receptor 1
ANXA1_FPR2,ANXA1,annexin A1,FPR2,formyl peptide receptor 2
ANXA1_FPR3,ANXA1,annexin A1,FPR3,formyl peptide receptor 3
APLN_APLNR,APLN,apelin,APLNR,apelin receptor
APOB_CALCR,APOB,apolipoprotein B,CALCR,calcitonin receptor
APOB_ITGAM,APOB,apolipoprotein B,ITGAM,"integrin, alpha M (complement component 3 receptor 3 subunit)"
APOB_ITGB2,APOB,apolipoprotein B,ITGB2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
APOB_LDLR,APOB,apolipoprotein B,LDLR,low density lipoprotein receptor
APOB_LRP2,APOB,apolipoprotein B,LRP2,low density lipoprotein receptor-related protein 2
APOB_LRP6,APOB,apolipoprotein B,LRP6,low density lipoprotein receptor-related protein 6
APOB_LRP8,APOB,apolipoprotein B,LRP8,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor"
APOB_LSR,APOB,apolipoprotein B,LSR,lipolysis stimulated lipoprotein receptor
APOB_OLR1,APOB,apolipoprotein B,OLR1,oxidized low density lipoprotein (lectin-like) receptor 1
APOC3_SDC2,APOC3,apolipoprotein C-III,SDC2,syndecan 2
APOC3_TLR2,APOC3,apolipoprotein C-III,TLR2,toll-like receptor 2
APOD_LEPR,APOD,apolipoprotein D,LEPR,leptin receptor
APOE_CHRNA4,APOE,apolipoprotein E,CHRNA4,"cholinergic receptor, nicotinic, alpha 4 (neuronal)"
APOE_LDLR,APOE,apolipoprotein E,LDLR,low density lipoprotein receptor
APOE_LRP1,APOE,apolipoprotein E,LRP1,low density lipoprotein receptor-related protein 1
APOE_LRP2,APOE,apolipoprotein E,LRP2,low density lipoprotein receptor-related protein 2
APOE_LRP5,APOE,apolipoprotein E,LRP5,low density lipoprotein receptor-related protein 5
APOE_LRP8,APOE,apolipoprotein E,LRP8,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor"
APOE_SCARB1,APOE,apolipoprotein E,SCARB1,"scavenger receptor class B, member 1"
APOE_SORL1,APOE,apolipoprotein E,SORL1,"sortilin-related receptor, L(DLR class) A repeats containing"
APOE_VLDLR,APOE,apolipoprotein E,VLDLR,very low density lipoprotein receptor
APP_CAV1,APP,amyloid beta (A4) precursor protein,CAV1,"caveolin 1, caveolae protein, 22kDa"
APP_CD74,APP,amyloid beta (A4) precursor protein,CD74,"CD74 molecule, major histocompatibility complex, class II invariant chain"
APP_FPR2,APP,amyloid beta (A4) precursor protein,FPR2,formyl peptide receptor 2
APP_GPC1,APP,amyloid beta (A4) precursor protein,GPC1,glypican 1
APP_LRP1,APP,amyloid beta (A4) precursor protein,LRP1,low density lipoprotein receptor-related protein 1
APP_NCSTN,APP,amyloid beta (A4) precursor protein,NCSTN,nicastrin
APP_NGFR,APP,amyloid beta (A4) precursor protein,NGFR,nerve growth factor receptor
APP_SLC45A3,APP,amyloid beta (A4) precursor protein,SLC45A3,"solute carrier family 45, member 3"
APP_TNFRSF21,APP,amyloid beta (A4) precursor protein,TNFRSF21,"tumor necrosis factor receptor superfamily, member 21"
AREGB_EGFR,AREGB,amphiregulin B,EGFR,epidermal growth factor receptor
AREGB_ERBB3,AREGB,amphiregulin B,ERBB3,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3
AREG_EGFR,AREG,amphiregulin,EGFR,epidermal growth factor receptor
AREG_ERBB3,AREG,amphiregulin,ERBB3,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3
ARF1_CHRM3,ARF1,ADP-ribosylation factor 1,CHRM3,"cholinergic receptor, muscarinic 3"
ARF1_INSR,ARF1,ADP-ribosylation factor 1,INSR,insulin receptor
ARF1_PLD2,ARF1,ADP-ribosylation factor 1,PLD2,phospholipase D2
ARTN_GFRA1,ARTN,artemin,GFRA1,GDNF family receptor alpha 1
ARTN_GFRA3,ARTN,artemin,GFRA3,GDNF family receptor alpha 3
ARTN_RET,ARTN,artemin,RET,ret proto-oncogene
ASIP_ATRN,ASIP,agouti signaling protein,ATRN,attractin
ASIP_F11R,ASIP,agouti signaling protein,F11R,F11 receptor
ASIP_MC1R,ASIP,agouti signaling protein,MC1R,melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)
ASIP_MC2R,ASIP,agouti signaling protein,MC2R,melanocortin 2 receptor (adrenocorticotropic hormone)
ASIP_MC3R,ASIP,agouti signaling protein,MC3R,melanocortin 3 receptor
ASIP_MC4R,ASIP,agouti signaling protein,MC4R,melanocortin 4 receptor
ASIP_MC5R,ASIP,agouti signaling protein,MC5R,melanocortin 5 receptor
ASIP_MGRN1,ASIP,agouti signaling protein,MGRN1,"mahogunin ring finger 1, E3 ubiquitin protein ligase"
AVP_AVPR1A,AVP,arginine vasopressin,AVPR1A,arginine vasopressin receptor 1A
AVP_AVPR1B,AVP,arginine vasopressin,AVPR1B,arginine vasopressin receptor 1B
AVP_AVPR2,AVP,arginine vasopressin,AVPR2,arginine vasopressin receptor 2
AVP_OXTR,AVP,arginine vasopressin,OXTR,oxytocin receptor
AZGP1_ITGAV,AZGP1,"alpha-2-glycoprotein 1, zinc-binding",ITGAV,"integrin, alpha V"
B2M_CD1A,B2M,beta-2-microglobulin,CD1A,CD1a molecule
B2M_CD1B,B2M,beta-2-microglobulin,CD1B,CD1b molecule
B2M_CD247,B2M,beta-2-microglobulin,CD247,CD247 molecule
B2M_CD3D,B2M,beta-2-microglobulin,CD3D,"CD3d molecule, delta (CD3-TCR complex)"
B2M_CD3G,B2M,beta-2-microglobulin,CD3G,"CD3g molecule, gamma (CD3-TCR complex)"
B2M_HFE,B2M,beta-2-microglobulin,HFE,hemochromatosis
B2M_HLA-F,B2M,beta-2-microglobulin,HLA-F,"major histocompatibility complex, class I, F"
B2M_KIR2DL1,B2M,beta-2-microglobulin,KIR2DL1,"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1"
B2M_KIR2DL3,B2M,beta-2-microglobulin,KIR2DL3,"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3"
B2M_KIR3DL1,B2M,beta-2-microglobulin,KIR3DL1,"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1"
B2M_KLRC1,B2M,beta-2-microglobulin,KLRC1,"killer cell lectin-like receptor subfamily C, member 1"
B2M_KLRD1,B2M,beta-2-microglobulin,KLRD1,"killer cell lectin-like receptor subfamily D, member 1"
B2M_LILRB1,B2M,beta-2-microglobulin,LILRB1,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"
B2M_LILRB2,B2M,beta-2-microglobulin,LILRB2,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"
B2M_TFRC,B2M,beta-2-microglobulin,TFRC,transferrin receptor
BCAN_EGFR,BCAN,brevican,EGFR,epidermal growth factor receptor
BCAN_NRCAM,BCAN,brevican,NRCAM,neuronal cell adhesion molecule
BDNF_DDR1,BDNF,brain-derived neurotrophic factor,DDR1,discoidin domain receptor tyrosine kinase 1
BDNF_DRD4,BDNF,brain-derived neurotrophic factor,DRD4,dopamine receptor D4
BDNF_NGFR,BDNF,brain-derived neurotrophic factor,NGFR,nerve growth factor receptor
BDNF_NGFRAP1,BDNF,brain-derived neurotrophic factor,NGFRAP1,nerve growth factor receptor (TNFRSF16) associated protein 1
BDNF_NTRK2,BDNF,brain-derived neurotrophic factor,NTRK2,"neurotrophic tyrosine kinase, receptor, type 2"
BDNF_SORT1,BDNF,brain-derived neurotrophic factor,SORT1,sortilin 1
BGN_LY96,BGN,biglycan,LY96,lymphocyte antigen 96
BGN_TLR1,BGN,biglycan,TLR1,toll-like receptor 1
BGN_TLR2,BGN,biglycan,TLR2,toll-like receptor 2
BGN_TLR4,BGN,biglycan,TLR4,toll-like receptor 4
BMP10_ACVR1,BMP10,bone morphogenetic protein 10,ACVR1,"activin A receptor, type I"
BMP10_ACVR2A,BMP10,bone morphogenetic protein 10,ACVR2A,"activin A receptor, type IIA"
BMP10_ACVR2B,BMP10,bone morphogenetic protein 10,ACVR2B,"activin A receptor, type IIB"
BMP10_ACVRL1,BMP10,bone morphogenetic protein 10,ACVRL1,activin A receptor type II-like 1
BMP10_BMPR1A,BMP10,bone morphogenetic protein 10,BMPR1A,"bone morphogenetic protein receptor, type IA"
BMP10_BMPR1B,BMP10,bone morphogenetic protein 10,BMPR1B,"bone morphogenetic protein receptor, type IB"
BMP10_BMPR2,BMP10,bone morphogenetic protein 10,BMPR2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
BMP10_ENG,BMP10,bone morphogenetic protein 10,ENG,endoglin
BMP15_ACVR1,BMP15,bone morphogenetic protein 15,ACVR1,"activin A receptor, type I"
BMP15_ACVR2A,BMP15,bone morphogenetic protein 15,ACVR2A,"activin A receptor, type IIA"
BMP15_ACVR2B,BMP15,bone morphogenetic protein 15,ACVR2B,"activin A receptor, type IIB"
BMP15_BMPR1A,BMP15,bone morphogenetic protein 15,BMPR1A,"bone morphogenetic protein receptor, type IA"
BMP15_BMPR1B,BMP15,bone morphogenetic protein 15,BMPR1B,"bone morphogenetic protein receptor, type IB"
BMP15_BMPR2,BMP15,bone morphogenetic protein 15,BMPR2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
BMP2_ACVR1,BMP2,bone morphogenetic protein 2,ACVR1,"activin A receptor, type I"
BMP2_ACVR2A,BMP2,bone morphogenetic protein 2,ACVR2A,"activin A receptor, type IIA"
BMP2_ACVR2B,BMP2,bone morphogenetic protein 2,ACVR2B,"activin A receptor, type IIB"
BMP2_BMPR1A,BMP2,bone morphogenetic protein 2,BMPR1A,"bone morphogenetic protein receptor, type IA"
BMP2_BMPR1B,BMP2,bone morphogenetic protein 2,BMPR1B,"bone morphogenetic protein receptor, type IB"
BMP2_BMPR2,BMP2,bone morphogenetic protein 2,BMPR2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
BMP2_ENG,BMP2,bone morphogenetic protein 2,ENG,endoglin
BMP2_HFE2,BMP2,bone morphogenetic protein 2,HFE2,hemochromatosis type 2 (juvenile)
BMP3_ACVR1,BMP3,bone morphogenetic protein 3,ACVR1,"activin A receptor, type I"
BMP3_ACVR2A,BMP3,bone morphogenetic protein 3,ACVR2A,"activin A receptor, type IIA"
BMP3_ACVR2B,BMP3,bone morphogenetic protein 3,ACVR2B,"activin A receptor, type IIB"
BMP3_BMPR1A,BMP3,bone morphogenetic protein 3,BMPR1A,"bone morphogenetic protein receptor, type IA"
BMP3_BMPR1B,BMP3,bone morphogenetic protein 3,BMPR1B,"bone morphogenetic protein receptor, type IB"
BMP3_BMPR2,BMP3,bone morphogenetic protein 3,BMPR2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
BMP4_ACVR1,BMP4,bone morphogenetic protein 4,ACVR1,"activin A receptor, type I"
BMP4_ACVR2A,BMP4,bone morphogenetic protein 4,ACVR2A,"activin A receptor, type IIA"
BMP4_ACVR2B,BMP4,bone morphogenetic protein 4,ACVR2B,"activin A receptor, type IIB"
BMP4_BMPR1A,BMP4,bone morphogenetic protein 4,BMPR1A,"bone morphogenetic protein receptor, type IA"
BMP4_BMPR1B,BMP4,bone morphogenetic protein 4,BMPR1B,"bone morphogenetic protein receptor, type IB"
BMP4_BMPR2,BMP4,bone morphogenetic protein 4,BMPR2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
BMP4_HFE2,BMP4,bone morphogenetic protein 4,HFE2,hemochromatosis type 2 (juvenile)
BMP5_ACVR1,BMP5,bone morphogenetic protein 5,ACVR1,"activin A receptor, type I"
BMP5_ACVR2A,BMP5,bone morphogenetic protein 5,ACVR2A,"activin A receptor, type IIA"
BMP5_ACVR2B,BMP5,bone morphogenetic protein 5,ACVR2B,"activin A receptor, type IIB"
BMP5_BMPR1A,BMP5,bone morphogenetic protein 5,BMPR1A,"bone morphogenetic protein receptor, type IA"
BMP5_BMPR1B,BMP5,bone morphogenetic protein 5,BMPR1B,"bone morphogenetic protein receptor, type IB"
BMP5_BMPR2,BMP5,bone morphogenetic protein 5,BMPR2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
BMP5_HFE2,BMP5,bone morphogenetic protein 5,HFE2,hemochromatosis type 2 (juvenile)
BMP6_ACVR1,BMP6,bone morphogenetic protein 6,ACVR1,"activin A receptor, type I"
BMP6_ACVR2A,BMP6,bone morphogenetic protein 6,ACVR2A,"activin A receptor, type IIA"
BMP6_ACVR2B,BMP6,bone morphogenetic protein 6,ACVR2B,"activin A receptor, type IIB"
BMP6_BMPR1A,BMP6,bone morphogenetic protein 6,BMPR1A,"bone morphogenetic protein receptor, type IA"
BMP6_BMPR1B,BMP6,bone morphogenetic protein 6,BMPR1B,"bone morphogenetic protein receptor, type IB"
BMP6_BMPR2,BMP6,bone morphogenetic protein 6,BMPR2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
BMP7_ACVR1,BMP7,bone morphogenetic protein 7,ACVR1,"activin A receptor, type I"
BMP7_ACVR2A,BMP7,bone morphogenetic protein 7,ACVR2A,"activin A receptor, type IIA"
BMP7_ACVR2B,BMP7,bone morphogenetic protein 7,ACVR2B,"activin A receptor, type IIB"
BMP7_BMPR1A,BMP7,bone morphogenetic protein 7,BMPR1A,"bone morphogenetic protein receptor, type IA"
BMP7_BMPR1B,BMP7,bone morphogenetic protein 7,BMPR1B,"bone morphogenetic protein receptor, type IB"
BMP7_BMPR2,BMP7,bone morphogenetic protein 7,BMPR2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
BMP7_ENG,BMP7,bone morphogenetic protein 7,ENG,endoglin
BMP8B_ACVR1,BMP8B,bone morphogenetic protein 8b,ACVR1,"activin A receptor, type I"
BMP8B_ACVR2A,BMP8B,bone morphogenetic protein 8b,ACVR2A,"activin A receptor, type IIA"
BMP8B_ACVR2B,BMP8B,bone morphogenetic protein 8b,ACVR2B,"activin A receptor, type IIB"
BMP8B_BMPR1A,BMP8B,bone morphogenetic protein 8b,BMPR1A,"bone morphogenetic protein receptor, type IA"
BMP8B_BMPR1B,BMP8B,bone morphogenetic protein 8b,BMPR1B,"bone morphogenetic protein receptor, type IB"
BMP8B_BMPR2,BMP8B,bone morphogenetic protein 8b,BMPR2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
BST1_CAV1,BST1,bone marrow stromal cell antigen 1,CAV1,"caveolin 1, caveolae protein, 22kDa"
BTC_EGFR,BTC,betacellulin,EGFR,epidermal growth factor receptor
BTC_ERBB2,BTC,betacellulin,ERBB2,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2
BTC_ERBB3,BTC,betacellulin,ERBB3,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3
BTC_ERBB4,BTC,betacellulin,ERBB4,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4
BTLA_CD247,BTLA,B and T lymphocyte associated,CD247,CD247 molecule
BTLA_CD79A,BTLA,B and T lymphocyte associated,CD79A,"CD79a molecule, immunoglobulin-associated alpha"
BTLA_TNFRSF14,BTLA,B and T lymphocyte associated,TNFRSF14,"tumor necrosis factor receptor superfamily, member 14"
BTLA_VTCN1,BTLA,B and T lymphocyte associated,VTCN1,V-set domain containing T cell activation inhibitor 1
C1QA_CD93,C1QA,"complement component 1, q subcomponent, A chain",CD93,CD93 molecule
C1QA_CR1,C1QA,"complement component 1, q subcomponent, A chain",CR1,complement component (3b/4b) receptor 1 (Knops blood group)
C1QA_CSPG4,C1QA,"complement component 1, q subcomponent, A chain",CSPG4,chondroitin sulfate proteoglycan 4
C1QB_LRP1,C1QB,"complement component 1, q subcomponent, B chain",LRP1,low density lipoprotein receptor-related protein 1
C1QTNF1_AVPR2,C1QTNF1,C1q and tumor necrosis factor related protein 1,AVPR2,arginine vasopressin receptor 2
C1QTNF5_MFRP,C1QTNF5,C1q and tumor necrosis factor related protein 5,MFRP,membrane frizzled-related protein
C1orf112_PLSCR4,C1orf112,chromosome 1 open reading frame 112,PLSCR4,phospholipid scramblase 4
C1orf194_PLSCR4,C1orf194,chromosome 1 open reading frame 194,PLSCR4,phospholipid scramblase 4
C1orf200_LY6G6C,C1orf200,chromosome 1 open reading frame 200,LY6G6C,"lymphocyte antigen 6 complex, locus G6C"
C1orf200_SLC16A4,C1orf200,chromosome 1 open reading frame 200,SLC16A4,"solute carrier family 16, member 4"
C3_C3AR1,C3,complement component 3,C3AR1,complement component 3a receptor 1
C3_C5AR2,C3,complement component 3,C5AR2,complement component 5a receptor 2
C3_CD19,C3,complement component 3,CD19,CD19 molecule
C3_CD46,C3,complement component 3,CD46,"CD46 molecule, complement regulatory protein"
C3_CD81,C3,complement component 3,CD81,CD81 molecule
C3_CR1,C3,complement component 3,CR1,complement component (3b/4b) receptor 1 (Knops blood group)
C3_IFITM1,C3,complement component 3,IFITM1,interferon induced transmembrane protein 1
C3_ITGAM,C3,complement component 3,ITGAM,"integrin, alpha M (complement component 3 receptor 3 subunit)"
C3_ITGAX,C3,complement component 3,ITGAX,"integrin, alpha X (complement component 3 receptor 4 subunit)"
C3_ITGB2,C3,complement component 3,ITGB2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
C3_LRP1,C3,complement component 3,LRP1,low density lipoprotein receptor-related protein 1
C4A_C3AR1,C4A,complement component 4A (Rodgers blood group),C3AR1,complement component 3a receptor 1
C4A_C5AR2,C4A,complement component 4A (Rodgers blood group),C5AR2,complement component 5a receptor 2
C4A_CR1,C4A,complement component 4A (Rodgers blood group),CR1,complement component (3b/4b) receptor 1 (Knops blood group)
C4BPA_BMPR2,C4BPA,"complement component 4 binding protein, alpha",BMPR2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
C4BPA_CD40,C4BPA,"complement component 4 binding protein, alpha",CD40,"CD40 molecule, TNF receptor superfamily member 5"
C4BPA_LRP1,C4BPA,"complement component 4 binding protein, alpha",LRP1,low density lipoprotein receptor-related protein 1
C4B_CD46,C4B,complement component 4B (Chido blood group),CD46,"CD46 molecule, complement regulatory protein"
C4B_CR1,C4B,complement component 4B (Chido blood group),CR1,complement component (3b/4b) receptor 1 (Knops blood group)
C5_C5AR1,C5,complement component 5,C5AR1,complement component 5a receptor 1
C5_C5AR2,C5,complement component 5,C5AR2,complement component 5a receptor 2
C5orf55_TRAF2,C5orf55,chromosome 5 open reading frame 55,TRAF2,TNF receptor-associated factor 2
